country,description,designation,price,province,region,name,winery
Portugal,"With hints of minerality typical of any wine from the Dão, this has tight, yeasty notes that contrast with its crisp, bright apple fruit. Drink now.",Cabriz Bruto,11,California,Mendoza,Chenin Blanc-Chardonnay,Global Wines
Portugal,"This wine balances swathes of ripe berry fruit with hints of tannin. It's fruity, full bodied and delicious to drink now. A great barbecue wine.",Cal Monte da Cal,7,Provence,Bierzo,Godello,Global Wines
Portugal,"This is a classic style of Bairrada sparkling wine—a blend of Bical, Maria Gomes and Arinto. Plenty of crisp acidity and soft white fruit flavors balance its yeasty character. Drink now.",Encontro Q do E Blanco Bruto Classico,8,Southern Italy,Luján de Cuyo,Cabernet Sauvignon,Global Wines
South Africa,"Surprisingly shy and reserved in nature, this offers subtle aromas and flavors of apple core and spiced orange peel. Soft and accessible, it's direct and clean, yet short on the finish. Drink now.",,22,California,Lake County,Chardonnay,Vergelegen
Argentina,"A mix of blueberry, plum and animal aromas leads to a wiry, clipped palate fueled by tartaric acid. Lightly salted plum flavors are slightly jammy, while a blueberry note is brought back on the finish.",Punto Final MLB,12,California,,Gelber Muskateller,Bodega Renacer
South Africa,"Bright aromas of tart apple, melon rind and fresh chrysanthemum dance in the bouquet, while the lively, lightweight palate offers notes of white peach and citrus pith. A subtle astringency graces the close. Drink now.",,10,Burgundy,,Roter Veltliner,Essay
France,"This is a plump, broad southern Rhône white, offering subtle notes of melon, pear and wet stones. Drink it before the end of 2017 while it still retains some freshness.",Héritages,16,France Other,Bennett Valley,Sauvignon Blanc-Semillon,Ogier
US,"This dense, rich and ripe varietal Cabernet Sauvignon is aged in new French oak for 19 months. It shows smoked meat and bacon flavors that last into the finish.",Limited Release X Clones,100,Southern Italy,Rogue Valley,Rosé,Charles Krug
South Africa,"Soft hints of peach, verbena and peony grace the delicate nose of this lightweight white. Touches of green banana and pear flesh out the palate, while ample acidity keeps the mouthfeel fresh through the finish. Drink now.",,15,South Australia,Ribera del Duero,Tempranillo-Cabernet Sauvignon,Noble Hill
France,This wine's blend symbolizes the Tarn's halfway position between the Atlantic and the Mediterranean. So it is has the perfumed Syrah and the more structured local Braucol to give a bright fruity wine with some touches of tannin as well as red-berry fruits. Drink now.,Les Petits Clément Syrah Braucol,16,Sicily & Sardinia,Santa Ynez Valley,Pinot Gris,Château Clément Termes
France,A dry wine with a soft texture that suggests a small amount of residual sugar. It is a fruity wine with apricot and ripe pear flavors and a smooth aftertaste that still leaves plenty of room for acidity. Drink now.,La Fleur Lily Semi-Dry,12,California,Washington,Chardonnay,Domaine de Grange Neuve
France,"Produced in the west of Gascony, with a strong oceanic influence, this Chardonnay is cool, fruity and with bright acidity. It does have a creamy texture that fills out the fruitiness. It is an attractive, ripe wine that is ready to drink.",La Galope,15,Southern Italy,Yakima Valley,Petite Verdot,Domaine de l'Herré
Portugal,"A wine for early drinking, this is soft, fruity and bright. With red berry flavor and gentle tannins, it's direct and packed with fruitiness. Drink now.",Pé Tinto,10,California,Wahluke Slope,Merlot,Herdade do Esporão
Portugal,"A soft and easy wine with black currant fruit and gentle tannins, this has just enough acidity and structure to hold it together. Spice adds interest on the finish. Drink now.",Monte da Cal Colheita Seleccionada,9,California,Nuits-St.-Georges,Pinot Noir,Global Wines
France,This gentle blend of Aligoté and Chardonnay shows yellow fruit flavors. It has a crisp edge to its round smoothness. Drink now.,,12,Tikves,Okanagan Valley,Pinot Noir,Pierre Gruber
US,"From four estate vineyards, this wine appears to be low in oak and extra crisp in mouthfeel, offering austere apple and citrus elements with a slight metallic edge.",,30,Thracian Valley,Okanagan Valley,Chardonnay,Thomas George
Italy,This informal white opens with whiffs of orchard fruit and citrus while the simple palate offers suggestions of pear and pineapple. A hint of bitter almond marks the rather lean abrupt finish.,Cà de' Rocchi,,California,Paso Robles,Grenache-Syrah,Tinazzi
Germany,"Pretty floral and apricot aromas brighten savory apple notes on this dry, but intensely honeyed Riesling. Bright and brisk on the palate, with searing lime acidity, it finishes long, with a refreshing spray of green herbs.",Niersteiner Hipping vom Rottligenden  Spätlese Trocken,17,Washington,Santa Barbara County,Cabernet Sauvignon,Weingut Georg Albrecht Schneider
US,"The Mark VI (similar to the above Heather's Vineyard) is a sort of reserve reserve, this one from barrels chosen to showcase the most cellar-worthy aspects of the vintage. It succeeds nicely, delivering a solid, firm, tart wine with young raspberry and cherry fruit at its center. The tannins have a lightly herbal, leafy streak, and there's little doubt this will benefit from additional years in the cellar.",Mark VI,65,Washington,Santa Cruz Mountains,Cabernet Franc,Anam Cara
Italy,"This intriguing blend combines the structure of Chardonnay with the crushed tomato vine and cantaloupe aromatics of Sauvignon. The rich palate delivers a lovely depth of ripe apple, creamy lemon, and melon flavors, layered with hints of exotic fruit and spice.",Dut'Un,,Washington,,Aragonez,Vie di Romans
US,"A lovely, fresh, fruit-forward Pinot, it's flush with flavors of plums and cherries as it fills the palate. It gains power and mass with dark, slightly charred flavors of espresso wrapped into the finishing tannins.",,32,Idaho,,Vitovska,Thistle
France,"This solidly structured wine shows the firm tannins and mineral structure typical of wines from Côte du Py. It has dense black cherry fruits along with sacidity that cuts through the structure. It could age another year, but is worth drinking now.",Côte du Py,24,Bordeaux,Shenandoah Valley (CA),Sangiovese,Trenel Fils
Portugal,"This rich wine has a dense core of dark, dry tannins. The fruit, still taking its time to come through, is full of dark plum flavors and will soon show a fresher acidity. Wood aging, dark chocolate and a smoky character all bode well for the future. Drink from 2016.",Companhia daz Lezirias Reserva Tinto,35,California,Sonoma County,Syrah,Wines & Winemakers
Portugal,"This rich, sophisticated wood-aged wine has complex fruits, structure and tannins. Ripe, juicy black fruits are intertwined with a solidly dry texture, powerful but still elegant. It will repay aging. Drink from 2016.",Monte da Baía Reserva,17,Catalonia,,Gewürztraminer,Wines & Winemakers
Portugal,"A rich wine that is made by the Abreu Callado charity foundation. It has dark black currant fruits, big tannins and an elegant feel. With its structure, minerality and ripe, juicy fruitiness, it is finely structured and ageworthy. Drink from 2017.",Abreu Callado Reserva,22,Alsace,Valtellina Superiore,Nebbiolo,Wines & Winemakers
US,"You can criticize this as being too full-bodied for a Pinot Noir. Some will find it Grenache-like, with its lush, jammy flavors of cherries, raspberries and oak. But what can't be denied is how delicious it is. The fruitiness, acidity and tannins suggest pairing with charbroiled lamb chops or steak. Drink now–2020.",Estate 25th Anniversary,36,South Australia,Santa Ynez Valley,Chardonnay,McIntyre Vineyards
US,"Palmeri has a good history with Syrah, and this 2011 is right up there. With rich, complex blackberry and blueberry jam, cassis, salted grilled beef, black pepper and smoky oak flavors, it is sophisticated enough to drink with upscale fare. It should age well through 2020.",Van Ness Vineyard,43,Bordeaux,Paso Robles,Rhône-style Red Blend,Palmeri
Portugal,"A powerfully tannic wine, full of the mineral texture and dark structure of a fine Douro wine. It has rich berry and plum skin flavors with underlining from acidity. The tannins, still young, promise aging. Drink from 2017.",Reserva,28,California,Willamette Valley,Rosé,Quinta do Portal
Portugal,"Already impressive, this wine is rich and packed with tannins and fruit. The structure gives a dry core that is cushioned by the sweet blackberry fruit flavors. The end shows the tannins again, along with fresh acidity, both suggesting aging. Drink from 2016.",Reserva,75,Washington,Luberon,Rosé,Quinta Nova de Nossa Senhora do Carmo
Germany,"Dried herbs accent notes of lemon and apple on this concentrated off-dry Riesling. The palate builds in intensity, with juicy flavors of peach and tangerine glazed with streaks of honey and wax. The finish is long, with bristling lemon-lime acidity.",Single Vineyard Series Spätlese,20,Idaho,Arroyo Seco,Viognier,Emil Reichart
Portugal,"With a significant proportion of Cabernet Sauvignon in the blend, this is a solid, tannic wine. It is also rich, complex and fruity. Fermentation in open lagares gives extra fruitiness, soft extract and great acidity. Drink from 2017.",Mythos,30,Central Spain,Campo de Borja,Syrah,Casal da Coelheira
France,"A very ripe wine with a velvet texture, cut with acidity and wood aging flavors. There is fine concentration, with delicious, juicy Merlot giving a ripe feel. It presents a fresh aftertaste, with the black currant fruit giving a lift to the more tannic structure. Drink from 2017.",,,California,Oregon,Pinot Noir-Syrah,Château Quinault L'Enclos
France,"A perfumed wine, it has structured black fruits and a solid texture. It is rich, showing complexity through its tannins along with acidity and fruitiness. Still surprisingly young to taste, it should not be drunk until 2015.",Réserve Louis Leyre-Loup,,Catalonia,Umpqua Valley,Albariño,Domaine de Leyre-Loup
Germany,"Whiffs of blackberry, bramble and granite seduce throughout this concentrated, brawny Lemberger. The palate is lush, with ripe plum and black cherry flavors anchored by brooding minerality and a bite of firm tannins on the finish. It's lovely now, but should reveal more complexity with 5–7 years in the cellar.",Trocken,24,California,Ribbon Ridge,Gamay Noir,Grafen Neipperg
Chile,"Dark berry, shoe polish and lemony oak are at the center of the bouquet on this blend of Malbec, Cabernet Sauvignon, Syrah and Petit Verdot. The palate feels rich to the point of syrupy, while the flavor profile offers a condensed, jammy mix of wild berries, wood, herbs, chocolate and coffee. Additional herbal notes along with spicy flavors carry a thick finish to its conclusion. Drink through 2018.",Auma Los Lingues,100,Oregon,Saint-Romain,Chardonnay,Koyle
Chile,"Black-plum and apple-skin aromas are fruity and a bit raw. In the mouth, this blend of Cabernet Franc, Syrah, Carmenère and Petit Verdot is full, properly tannic and loamy in feel. Dark-leaning flavors of licorice, peppery spice, chocolate and herbs finish with classic Chilean notes of black olive and tobacco. Drink through 2019.",Lien,30,Elqui Valley,Alto Adige Terlano,Pinot Bianco,Maquis
Italy,"Still youthful, it shows aromas of fragrant white flowers, stone fruit and pear. The juicy, lively palate delivers golden apples, yellow peach, almond and hints of aromatic herbs alongside fresh acidity. It boasts balance and finesse. Drink now through 2016.",Demesse Vecchie,26,California,Côtes du Lot,Syrah,Olivini
US,"This is a lovely, balanced wine, combining grip, texture and elegant details. It starts with clean fruit flavors of berry and cherry, bringing in delicate notes of root beer, vanilla and clove. There's a suggestion of brine also, the whole delivering marvelous complexity.",Heather's Vineyard,65,California,Juliénas,Gamay,Anam Cara
Chile,"An intriguing, well-made wine, it conveys saucy red-fruit aromas that come with notes of raw oak, leather and herbs. It smacks the palate with hard tannins and raw verve, while flavors of vanilla, mocha, licorice and berry fruits finish crisp and woody. Drink through 2017.",Toknar,100,Oregon,Saint-Amour,Gamay,Von Siebenthal
Italy,"This delicious blend of Syrah, Cabernet Franc, Merlot and Petit Verdot opens with aromas of ripe black fruit, berries, tilled soil, blue flower and spice. The concentrated palate delivers fleshy black cherry, red currants, black pepper and graphite alongside smooth tannins. The long finish closes on a licorice note.",Insoglio del Cinghiale,30,Lebanon,Rías Baixas,White Blend,Campo di Sasso
Portugal,"Made by a Spanish bodega with grapes from the Portuguese Douro, this is a sophisticated Douro wine that has a smooth, ripe texture underpinned with dry tannins. Now mature, it's very elegant. Drink now.",Drink & Dream D+D,,California,Santa Ynez Valley,Pinot Noir,Emilio Moro
US,"Right out of the bottle, this wine is tannic and closed. After a while in the glass, it starts to soften, showing mushroom, cola, pomegranate and raspberry flavors, but it's still resistant. Give it until 2018, and it should gradually unfold for another few years afterward.",Keefer Ranch,48,North Dalmatia,Pernand-Vergelesses,Chardonnay,Failla
Portugal,"This sophisticated wine is full of rich, beautifully integrated tropical and citrus fruits enhanced by an elegant use of wood. It feels rich, sumptuous and concentrated, while allowing for good acidity at the end. Drink from 2015.",Ikon,,Alentejano,Uco Valley,Red Blend,Fiuza
Portugal,"A big, ripe wine, it shows richness from the superripe grapes. It is bold, full-bodied and packed with juicy black fruits. It's like a fruit bomb, but structure holds it together. Drink from 2015.",Reserva,26,California,,Grauburgunder,Herdade das Servas
Portugal,"At this stage, this wine is dominated by wood. The black fruits underneath will take their time to bring together a wine that will show great perfumes, flavors of mushroom and truffles, and a dense texture. The aftertaste already has some of the right juicy acidity. Drink from 2017.",Ciconia,,Ontario,Grand Valley,Red Blend,Herdade de São Miguel
Portugal,"This wine is just starting out. With its initially austere structure and firm tannins, the juicy fruitiness and mineral character are still waiting to emerge. It will be a serious and structured wine in the next few years, evoking the granite of the Douro. Drink from 2016.",Domini,16,Península de Setúbal,Colorado,White Blend,José Maria da Fonseca
US,"You can call this Pinot thin, or you can call it elusive. While it does show the lean profile of the 2011 vintage, it's quite complex, offering high acid-inspired flavors of raspberry sour candy, chamomile tea and cranberries, plus minerally, dried herb complexities. Drinking through 2020.",Van Der Kamp Vineyard,42,California,Cochise County,Petite Sirah,La Follette
Italy,"Closed cellar aromas burn off to reveal black fruit, baking spices and balsamic notes. The palate is subdued, showing raw cherry-berry, cooking spices and herbs alongside nervous acidity and astringent tannins.",Bricco delle Viole,60,California,Langhe,Nebbiolo,460 Casina Bric
Italy,"This earthy Barolo has funky sensations of game, meat juices, oak, vanilla, spice and ripe black berry fruit. The warm midpalate and sweet fruit are balanced by tightly packed, astringent tannins that leave the mouth feeling dry. Drink after 2020.",,56,California,Monticello,Meritage,Anna Maria Abbona
US,"Pale in color, it has pleasing aromas that mix fruit and barrel with notes of cinnamon, cherry and sarsaparilla. The palate is medium bodied with the oak (30% new French and American) getting just a bit out front of the fruit flavors.",,19,California,Edna Valley,Viognier,River's Edge
US,"Complex and grippy, it offers classic layers of spicy black pepper, clove and red cherry and plum fruit. Not overpowering on the palate or in price, it will pair with flair.",,21,Beaujolais,Oregon,Cabernet Sauvignon,Robert Mondavi
US,"This offers fresh fruit flavors of watermelon and strawberry. Delicate and flavorful, it's perfect for sipping on your porch, deck, boat or simply while picnicking.",Rosé,20,Burgenland,Livermore Valley,Cabernet Sauvignon,Stoller
US,"Ripe and fragrant, this offers delineated scents of cherry pie filling, raspberry, rose and dillweed. It's lithe and succulent, with polished lines and plenty of charm.",,25,Mendoza Province,North Coast,Cabernet Franc,Tarara
US,"Medium to full in weight, it offers sleek acids and highly buffed tannins. Subdued notes of charred herb, dark cherry and tobacco give character to this blend of 42% Cabernet Franc, 30% Merlot, 28% Petit Verdot.",Adagio,72,Wagram,Cannonau di Sardegna,Cannonau,The Williamsburg Winery
Argentina,"This is lightly perfumed with green melon, lychee and papaya aromas. The palate is middle of the road in terms of acidity and snap. Flavors of lychee, peach and nectarine are typical of the variety, while the finish is plump and smooth.",Broquel,18,California,Victoria,Riesling,Trapiche
US,"Dark and viscous, this blends 65% Cabernet Sauvignon with 26% Merlot and 5% Petit Verdot. All settle into a high percentage of new French oak, which lends the wine a brawny, savory leather mouthfeel. The flavors tend toward olive, black pepper and cedar, a powerhouse in all.",Paradiso,70,California,Lodi,Barbera,V. Sattui
Argentina,"Smooth, earthy, lightly herbal aromas are balanced by fresh red-berry notes. This feels racy and lean in the mouth, with nothing fat or grabby getting in the way of steady raspberry, plum and herbal flavors. A note of olive and leafy green rises up on the finish.",Reserva,29,California,Alsace,Muscat,Verum
Portugal,"The wines has concentration, while also having rich, smooth fruits that exude blackberries, fresh acidity and just the right amount of wood to give complexity.  It's firm, but ready to drink.",Colheita,35,California,Adelaida District,Red Blend,Vinha Paz
Bulgaria,"This dark cherry-red wine has aromas of red plums and dried black plums that flow to the palate. An easy drinking wine, with pleasantly tart cherry flavors.",Veni Vidi Vici,10,Kremstal,Yorkville Highlands,Pinot Noir,Vini
US,"This grape variety originated in Spain and is also popular in the southern Rhône Valley of France. In this bottling, smoky, chocolaty aromas lead to blackberry and dark cherry flavors, a broad, generous texture and moderate tannins. It's rather big in structure but not heavy.",,26,Virginia,Cayuga Lake,Cabernet Franc,Winery by the Creek
Italy,"It opens with aromas of forest floor, porcini mushroom and espresso. The straightforward palate offers bright berry, coffee and grilled herbs alongside firm tannins. Drink 2015–2020.",,28,Virginia,Santa Clara Valley,Rhône-style White Blend,Natale Verga
Argentina,"Quara makes good, true Cafayate Torrontés. Aromas of lychee, citrus, tropical fruits and bath oils are vital. This remains solid and clean, with upright acidity. Lime, mango, lychee and banana flavors finish round, with just enough acidity to maintain the wine's character. Drink immediately.",Estate Bottled,12,Pocerina,Lake Chelan,Red Blend,Quara
Spain,"While 2010 was a great vintage in most of Spain, parts of Bierzo had a mildew problem and thus some wines are less than fully ripe. This seems to be a case in point; it's scratchy on the nose, with a sinewy, drawing mouthfeel that's only partly covered up by oak. Prickly berry and black cherry flavors finish tight, with scraping tannins. Drink now with meat or cheese.",,25,California,Naches Heights,Red Blend,Losada
Australia,"Hints of lemon curd and struck flint emerge from they lass, while the palate reveals flavors of apple, pear and citrus. With its pared-back flavors and restrained nature, this medium-bodied Chardonnay should prove versatile at the table. Drink now–2016.",,25,California,Catalunya,Garnacha Blanca,Heggies Vineyard
US,"The scents of humus, spiced blackberry and char are deep, delineated and balanced. Fine-grained tannins and lifting acids unfurl across the poised palate, and the long finish concludes with black raspberry and vanilla notes.",,19,California,Mendoza,Petit Verdot,North Gate
Croatia,"This Croatian white has delightful aromas of pineapple, tropical fruits and fresh cut honeycomb. It's round and generous in the mouth, with flavors of guava and lime rind that lead in to the clean, astringent finish.",P9,27,Zenata,Columbia Gorge (WA),Rhône-style Red Blend,Bibich
US,"The somewhat light red-purple color does not mean that this medium-bodied wine lacks flavor. Toasty, smoky, caramel aromas from oak carry over to the bold and almost sweet flavors, powering over moderate raspberry and plum undertones.",,12,Bulgaria,Pessac-Léognan,Sauvignon Blanc,Castle Rock
France,"This rich wine offers spice and black plum fruit flavors in equal measure. It's certainly ripe, but a fresher character adds lift. Tannins are already well-integrated into this velvet-textured wine. Drink from 2017.",,15,France Other,Sierra Foothills,Chardonnay,Château Peugeais
Romania,"Aromas of cherry, raspberry and a whiff of mint lead to flavors of dried cherry, raspberry and strawberry in this easy quaffing Pinot Noir.",La Umbra,9,Župa,Terra Alta,Carignan,Cramele Halewood
US,"A complex nose emerges as this wine opens up with chalk, soda, lemon and lime pith. The scents go well with the ocean breezes at Deep Sea's tasting room on Santa Barbara's wharf. It's lean on the palate, with lime throughout and a bit of papaya on the end.",,22,Župa,Alella,Syrah,Deep Sea
France,"The ripe and fruity style typical of Vacheron wines is evident here. Citrus flavors are given a rich fillip by yellow fruits and a rounded, full texture. Touches of minerality and youthful acidity are already well integrated into the body of the wine. Drink in 2015.",,37,California,Monterey County,Gewürztraminer,Domaine Vacheron
US,"Inviting in tropical aromas of guava and pineapple, it smells sweet but drinks dry, balanced in melon and high-toned citrus, just a hint of grass on the finish.",,19,California,Gaillac,Mauzac,Robert Mondavi
France,"This is a fresh, lemony wine, crisp and steely. A richer element rounds out the tight texture and acidity. Lively and fruity, it will be ready to drink in 2015.",Eclat de Fraîcheur,,Burgundy,South Coast,Port,Roger et Didier Raimbault
Italy,"Sweet vanilla, oak, espresso, coconut and plum aromas lead the nose and carry over to the palate. The sugary vanilla and toasted oak flavors mask the Nebbiolo purity, while bracing tannins leave the mouth feeling dried out.",Audace Riserva,,Burgundy,Rogue Valley,Malbec,Sarotto
US,"It offers an imprint of spearmint, dill and black cherry fruit, a modicum of tannins and a soft side, the aroma replete in rose petals. On the finish expect a darker influence of tobacco and oak.",Heritage Reserve,40,California,Côtes de Gascogne,Gros and Petit Manseng,Schug
Italy,"Aromas of ripe plum, rose petals, cake spices and toasted oak lead the nose on this structured wine. The rich palate opens with a burst of dark cherry fruit followed by accents of roasted coffee bean, espresso, and vanilla. The succulent midpalate is cut short by astringent wood tannins that leave the mouth feeling dried out.",Chirlet,,Galilee,Calistoga,Petite Sirah,Simone Scaletta
US,"Winemaker Jeff Fink is unleashing a cross-section of clones in 2012, and this take on Pommard offers delicious aromas of berry-laced crème brûlée with bay leaf. There is a bitterness at first on the tannic palate, and it washes out quickly with tart cranberries.",Pommard Clone Dierberg Vineyard,70,Piedmont,Sonoma Coast,Rosé,Tantara
US,"Very rich aromas of cherry, blueberry syrup and hot blackberry jam-filled pastry greet the nose. So the sour cherry and tart cranberry flavors are surprising on this medium-bodied wine, which also picks up interesting peppery notes into a lingering finish.",Nola,34,Piedmont,,Austrian Red Blend,Sevtap
US,"The nose on this wine by oil worker-turned-winemaker Ert Sevtap offers lifting aromas of blueberry and mint. The spearmint notes carry to the palate as well, which also shows blackberry fruit and roasted beef meatiness.",Zig-A-Zig-Ahh,38,Northern Spain,Templeton Gap District,Zinfandel,Sevtap
US,"A touch of caramelized sugar lingers from nose to finish on this brisk wine, melding into layers of white peach, caramel and cream. It's light in body, but the mouthfeel is surprisingly round and rich. The finish is zesty and bright.",,14,California,Temecula Valley,Tempranillo,Sheldrake Point
US,"With all of the fruit hailing from Zephyr Ridge Vineyard, this wine is lighter in color, with suggestions of ash, cigar box, vanilla, coffee and red fruit. It's soft in feel, flavorful yet still quite deft. Good acidity backs it all up, finishing warm.",Howling Wolfe,20,Goriska Brda,Colli della Toscana Centrale,Sangiovese,Thurston Wolfe
US,"Aromatically intriguing, this carries suggestions of sour cherry, umami and fresh tobacco. The palate brings medium-bodied cranberry and cherry flavors. It doesn't have the tannic structure that this variety is known for but there is still plenty to enjoy.",Estate,30,Goriska Brda,Santa Ynez Valley,Cabernet Franc,Wilridge
US,"Prominent streaks of spice, toast and smoke persist amidst tart black cherry and cassis flavors in this full-bodied wine. Pomegranate acidity is bracing on the midpalate, accentuating a slightly brusque finish.",Cassango,40,California,Ancient Lakes,Riesling,Wölffer
Spain,"Briary plum and cherry cough-drop aromas give way to a crisp, fairly full palate with chewy tannins. Plum and peppery spice flavors are kept simple, while this finishes with some dark-berry character and a touch of bitterness.",Cuvée,15,Languedoc-Roussillon,Lake County,Syrah,Finca Hispana
France,"Ripe Cabernet gives this wine a great start in life. Juicy black currant is underpinned by the wood aging and tannins, giving a wine that is fruity while still structured. Drink from 2017.",,20,Oregon,North Fork of Long Island,Sparkling Blend,Château Chantemerle
France,"While the wine has plenty of the tannins typical of 2011 at this stage, it also has ripe fruit, full of blackberry and currant flavors. The balance is already there, giving a potentially rich, juicy and generous wine. Drink from 2017.",,,Sicily & Sardinia,,Viognier,Château de Bensse
US,"Swathes of fresh tarragon lend a green, herbal tone to cassis and black plum flavors in this pretty wine. Penetrating, grippy tannins are jolting on the finish, underlining a tight, brisk finish.",,25,California,Red Hills Lake County,Malbec,Chateau Lafayette Reneau
France,"Powerful and structured, this has dense tannins that will always be an important part of the wine. The juicy, fresh fruit gives a perfumed character to the wine and brings out acidity as well as the dry texture. It needs to age, so drink from 2018.",,35,California,Antelope Valley of the California High Desert,Sémillon,Château Lalaudey
France,"This firm and dry wine is also full of acidity. A juicy start is then given a firm jolt by the tannins, but the complex structure allows plenty of room for the bright fruits. Drink from 2018.",,,New York,California,Malbec,Château Mancèdre
France,"Fresh and juicy, this full-bodied while structured wine comes from the heart of the Entre-deux-Mers region, which gives the fruitiness and blackberry fruit flavors. It will develop quickly and can be drunk from 2016.",,20,Washington,Napa Valley,Cabernet Franc,Château Peyfaures
US,"This moderately aromatic wine conveys Red Hots, baking spices and red fruit. It's on the lighter side of medium bodied, soft yet full of drawn-out blue-fruit flavors on the finish.",Single Vineyard,23,New York,Lambrusco di Sorbara,Lambrusco di Sorbara,3 Horse Ranch Vineyards
US,"With aromas and flavors reminiscent of apple skin, peach skin, white pepper and pomegranate seed, this tastes crisp, tangy, slightly bitter, and has great bright acidity. It is light to medium bodied and made from 100% whole-cluster-pressed Riesling that was fermented in a combination of older oak barrels and stainless steel vessels.",,24,Washington,Red Mountain,Lemberger,Balo
US,"Toffee, cinnamon apples and a hefty swirl of smoke arise on the nose from the winery's entry-level bottling. The palate shows caramelized pears, nicely bitter lemon rinds and warm, buttered nut toffee note that carries from first sip to the finish.",,16,Provence,Walla Walla Valley (WA),Rhône-style White Blend,Byron
Italy,"A blend of 60% Vermentino and 40% Viognier, this presents a delicate fragrance of honeysuckle and stone fruit. The bright palate offers creamy white peach and tangerine, with a candied ginger note on the close.",Borgeri,24,California,,Teran,Giorgio Meletti Cavallari
US,"An unidentified mix of Cabernet Sauvignon and Merlot sourced from throughout the county, this is a smoky, leathery expression of sanguine black and red fruit that's approachable and easygoing. The finish has a bittersweet note of chicory.",Mountain Cuvée,20,Vienna,Vigneti delle Dolomiti,Sauvignon,Gundlach Bundschu
US,"Subdued is a good way to describe this light-bodied white made from Chardonnay, Chenin Blanc and Gewürztraminer. It has subtle aromas of honey and flowers, fresh but quiet peach flavors and a soft texture.",,12,California,Arroyo Seco,Pinot Blanc,Kitchen Sink
US,"While spry and dry in style, fragrant apricot and orange blossom notes lend flair to this light-bodied wine. Tangerine acidity is bright and concentrated on the palate, leading to a swift, pert finish.",Hobbit Hollow Farm Dry,20,Marlborough,Trentino,Pinot Grigio,Heron Hill
US,"Coming from the cool 2011 vintage this wine offers a blue-fruit profile seldom seen in the state for this variety along with notes of chocolate and coffee. It's elegantly styled with a soft feel, trailing toward the finish.",Cold Creek Vineyard,28,Northern Spain,Cariñena,Garnacha,Chateau Ste. Michelle
France,"This concentrated, structured wine has an earthy quality, typical of some Listracs, along with a more juicy, fruity character that's boosted by acidity. Balanced, it will age over the medium-term. Drink from 2017.",,27,California,Dolcetto d'Alba,Dolcetto,Château Vieux Moulin
US,"Fresh apple aromas and lively citrus flavors make a good combination in this light-bodied, tangy-textured wine. It tastes slightly rounded with sweetness, but comes off clean, crisp and appetizing. The two main components are Sémillon and Chardonnay, with dashes of Sauvignon Blanc and Orange Muscat.",The Whip,22,Sicily & Sardinia,Nuits-St.-Georges,Chardonnay,Murrieta's Well
US,"This wine is predominantly Merlot (83%) along with Cabernet Sauvignon (9%) and Syrah (2%) all from Anna Marie Vineyard, with Cabernet Franc from Minnick Hills and Petit Verdot from StoneTree Vineyard. Pleasing aromas suggest blueberry, milk chocolate and high-toned herbs. It's elegantly styled with light blue-fruit flavors, at times seeming a bit faint.",,50,Oregon,Lodi,Cinsault,Northstar
US,"This offers an intriguing mix of ripe Golden Delicious apples and a strong alkalinity characterized by crushed chalk. The palate holds tight to a lime-pith line, proving racy and lean, with just a drizzle of honey. It would be great with shellfish.",Estate,28,California,El Dorado,Rhône-style Red Blend,Sarah's Vineyard
US,"Sanguine in cassis, cranberry and wild strawberry, this relatively inexpensive Napa Cab has an herbal edge that suggests elegance and balance. The finish is stamped in oak that lingers on the palate without overwhelming.",,25,British Columbia,,Assyrtico,Stickybeak
US,The alcohol—19% as labeled—shows prominently on the aromas of this 88% Touriga Nacional and 12% Sauzao single-vineyard wine from Lonesome Springs Ranch Vineyard. Sweet chocolate and dark fruit flavors offer plenty of appeal.,Port,40,Morocco,Clarksburg,Teroldego,Patterson
US,"Medium in weight, this offers a richness of plum and medium acidity surrounded by sizable tannin and oak. Cherry, dark currant and leather round out the characteristics, the wine aged in both French and American oak. The price is nice.",Three Vineyards,18,California,Santa Maria Valley,Pinot Blanc,Pedroncelli
Italy,"This Sangiovese features aromas of blue flower, dark berry and a balsamic note. The extracted palate delivers dried black cherry, ground pepper and espresso alongside bracing tannins that leave a drying, astringent finish.",,23,Tuscany,Tupungato,Cabernet Sauvignon,Perazzeta
US,"Lighter in color and 100% varietal, this wine offers high-toned notes of plum, cinnamon stick and licorice. The blue and red fruit flavors are broad in feel with a light squeeze on tannins.",,14,California,Sonoma County-Napa County,Sauvignon Blanc,Waterbrook
Spain,"Charred, earthy black-fruit aromas are smoky and power-packed. This feels full yet balanced, with freshness and strong tannins. Ripe berry, prune and oak-spice flavors finish with a note of vanilla and length. For a Crianza from a tough vintage, this is commendable.",Crianza,15,Washington,Colorado,Riesling,Palacio del Burgo
US,"This light-bodied wine has aromas of grapefruit and prosciutto, flavors of melon and toasted almond, making it one of the most interesting and complex versions around. Its balance is good, its texture crisp and its finish lingering.",,26,Tuscany,,Tamjanika,Passaggio
Spain,"Widely available Rioja Crianzas don't come much better than this. An opening of raspberry and strawberry aromas backed by direct cherry, raspberry and red-plum flavors render this all about fruit and freshness.",Crianza,20,California,Rioja,Rosé,Rioja Vega
US,"This is a serious and satisfying dry wine with bold flavors, great structure and a mouth-filling texture. It is very well balanced in terms of fruit character and displays moderate tannins, good acidity and no excesses. It's easy to imagine on the table with a grilled rib eye.",,20,California,Russian River Valley,Petite Sirah,Sketchbook
